Name 2,Own 2,Rank 2013,Rank 2012,Change2,Current Turnover,Last,Y-O-Y %,Current Profit,Last2,Y-O-Y %2,Operating Margin % |Current,Last3,(Ppts),ROCE |Current,Last4,Year End,Activity,OwnPos
Mccormick Uk,UK sub,72,74,2,206,189,9.2,1,3,-73.8,0.4,1.8,-1.4,0.9,3.4,11/12/2014,B,12
Berry Gardens,Family,73,68,-5,202,210,-4.1,3,2,86.6,1.6,0.8,0.8,35.2,18.7,12/12/2014,uB,13
Barry Callebaut Manufacturing,UK sub,74,66,-8,198,204,-2.7,1,2,-19.4,0.7,0.8,-0.1,4.4,6.3,08/12/2014,uB,29
Oscar Mayer,Family,75,78,3,195,177,10,6,7,-13.7,3.2,4.1,-0.9,22.7,29.4,03/12/2014,uB,11
CSM (Uk),UK sub,76,87,11,188,156,20.9,6,7,-14.4,3.2,4.5,-1.3,8.2,10.1,12/12/2014,B,8
Ferrero Uk,UK sub,77,82,5,184,169,8.9,-6,1,,-3,0.4,-3.5,-23.3,3.2,08/12/2014,B,10
Noon Products,UK sub,78,76,-2,184,166,11,4,1,160.1,2.1,0.9,1.2,12.6,4.7,12/11/2014,uB,13
Tata Global Beverages,UK sub,79,73,-6,181,189,-4.3,26,31,-15.4,14.3,16.2,-1.9,15,20.6,03/12/2014,B,21
William Jackson Food Group,Family,80,83,3,180,166,8.6,12,8,51.4,6.4,4.6,1.8,15.1,10.7,04/12/2014,uB,26
Produce World,Family,81,65,-16,179,207,-13.4,1,na,na,0.7,na,na,3.4,na,06/12/2014,uB,13
John West Foods,UK sub,82,79,-3,177,149,18.6,3,-1,,1.5,-1,2.5,4.2,-2.1,12/11/2014,B,15
Tayto Group,Family,83,88,5,165,157,5,4,7,-41.1,2.5,4.5,-2,4.6,4.9,06/12/2014,uB,11
Innocent,UK sub,84,84,0,163,130,25.4,8,5,,-5,-4.1,-0.9,-20.8,-13.1,12/11/2014,B,8
Fayrefield Foods,Family,85,85,0,161,154,4.4,1,1,44.8,0.6,0.4,0.2,4.6,3.5,12/11/2014,B,16
Vitacress,UK sub,86,,,159,152,4.5,3,-1,,1.9,-0.8,2.8,3.4,,12/12/2014,uB,9
Tangerine Confectionery,PE,87,86,-1,157,154,1.8,8,12,-31.7,5.2,7.7,-2.5,10.6,16.5,12/11/2014,B,23
Dovecote Park,Family,88,96,8,156,135,15.7,3,3,-8,1.8,2.2,-0.5,15.3,18,09/12/2014,uB,13
Winterbotham Darby &Co,UK sub,89,,,156,129,20.4,6,6,-3.7,4,5,-1,39.8,,03/12/2014,uB,26
Greenvale Ap,Listed,90,81,-9,150,172,-12.7,7,5,37.6,5,3.1,1.8,29.1,19.7,06/12/2014,uB,12
R&R Ice Cream Uk,UK sub,91,93,2,150,138,8.4,23,25,-7.9,15.6,18.3,-2.8,54,87.5,12/12/2014,uB,20
Qv Foods,Family,92,91,-1,145,142,2.2,5,2,121.3,3.3,1.5,1.8,19.3,10.1,05/12/2014,uB,8
Whitworths,PE,93,107,14,144,119,21,6,8,-24.8,4,6.4,-2.4,14.3,21.5,04/12/2014,uB,10
Pork Farms,PE,94,98,4,143,134,6.4,0,-2,,0.3,-1.6,1.9,1.1,-8.9,03/12/2014,uB,10
Direct Table Foods,UK sub,95,101,6,142,145,-2.2,4,7,-41.5,3.1,5.1,-2.1,11.4,24,09/12/2014,uB,18
Yoplait Uk,UK sub,96,97,1,140,134,4.9,23,22,5.7,16.5,16.4,0.1,70.5,61.2,04/12/2014,B,10
Dairy Produce Packers,UK sub,97,92,-5,139,136,2.4,1,7,-80.1,0.9,4.8,-3.9,2,12,12/11/2014,uB,21
Dr Oetker (Uk),UK sub,98,94,-4,137,151,-9.6,4,8,-46.5,3.2,5.4,-2.2,8.1,13.8,12/11/2014,B,14
Haribo,UK sub,99,105,6,135,122,10.7,16,15,7.3,11.8,12.2,-0.4,10.4,10.7,12/12/2014,B,6
